LONG,LAT
-40.69332165,64.01225323
-40.97704765,64.03527007
-40.92402761,64.05228523
-41.04760006,64.05656175
-40.59861117,64.05812095
-40.60505777,64.08409121
-40.82141065,64.10586619
-41.12873169,64.11539678
-41.32879202,64.14015177
-41.52784759,64.1663937
-49.59257273,64.20342058
-41.64227975,64.23545651
-49.488742,64.2440605
-41.52570038,64.34601167
-41.29233822,64.36397809
-49.486386,64.371623
-40.86272232,64.40511611
-40.68523771,64.50267623
-40.73040035,64.64993795
-49.68623,64.7033675
-40.76793691,64.70820782
-40.84658667,64.73997578
-40.94132279,64.79721278
-49.99782421,64.83917403
-41.06749524,64.86491716
-41.2087711,64.99580722
-40.17075626,65.11304793
-40.08200158,65.15464327
-40.49725606,65.16881437
-40.64517567,65.21252218
-50.70997481,65.21650984
-40.75107941,65.2181093
-41.25569592,65.22546147
-40.03988002,65.23679998
-39.94752132,65.24159376
-39.98685182,65.38004633
-40.08536485,65.44227494
-40.1519,65.46732726
-40.266563,65.540679
-40.07223206,65.59804127
-39.981106,65.625111
-39.8376,65.667046
-52.39512835,65.67404707
-38.83850802,65.71009211
-39.68286302,65.71247201
-50.78595498,65.72077233
-38.42048913,65.75253771
-50.82533008,65.77265148
-39.32124609,65.81859502
-51.62503168,65.90476684
-38.45635009,65.93265207
-51.61855987,65.9363879
-38.58666261,65.95968881
-52.82286073,66.01066074
-38.57336276,66.01261129
-52.4484726,66.01341698
-36.70738567,66.1020295
-36.25044962,66.12115673
-36.46671064,66.12390412
-38.11961917,66.17664578
-38.26715858,66.36525494
-37.54424931,66.36643899
-35.17419614,66.43594626
-35.96317521,66.4472946
-34.70077147,66.48340253
-36.74658398,66.49692642
-34.65709677,66.56938311
-34.30296602,66.70317403
-49.93314382,66.71368927
-34.53669474,66.76795257
-50.08367327,66.88880213
-34.08889654,66.92909568
-50.15256402,66.93803986
-34.15784338,67.0037296
-33.78932524,67.11019308
-33.77647119,67.22609636
-33.64238717,67.33445473
-33.5590888,67.42113971
-33.46343635,67.5119361
-33.4998422,67.58050559
-33.51592991,67.60664774
-32.91081447,67.71008834
-33.32953139,67.79051942
-32.65437617,67.85695328
-32.53754264,67.89243937
-50.31604486,67.91723367
-32.43836852,67.9300051
-32.28318276,68.00688938
-32.22972027,68.10214814
-32.2907975,68.13933277
-32.58284318,68.18425558
-31.72471699,68.30827131
-31.51166476,68.31187877
-30.82992641,68.31388301
-51.23109556,68.32351533
-32.43621756,68.36419318
-30.18398031,68.3976716
-28.83343818,68.4354376
-30.03246147,68.45283045
-29.21308799,68.47416366
-28.63206153,68.48931849
-28.53702085,68.50919186
-32.19342486,68.51441421
-32.85446773,68.532372
-32.92025747,68.5481611
-32.95756815,68.61503294
-28.07955931,68.6236583
-32.36497423,68.69851581
-27.16482072,68.74885137
-27.02286918,68.80155316
-26.13459313,68.87475324
-50.32572411,68.87586881
-50.17494004,68.9161875
-26.02709073,68.95798243
-49.53433397,69.13815825
-25.46727217,69.23364827
-49.7229868,69.27028361
-25.12329246,69.37829432
-50.28819647,69.3809087
-49.94553596,69.7762565
-27.12543472,69.93177843
-50.04996546,69.9325525
-27.56215477,69.94777454
-23.09603036,69.97114491
-50.08874633,69.98960216
-28.00151834,69.99434024
-23.5610006,70.1004847
-23.85576496,70.1177456
-24.16996194,70.15191913
-50.20135221,70.156621
-26.31661964,70.17477855
-24.50409437,70.20173833
-25.1951357,70.23300122
-29.12835014,70.37825013
-50.38440059,70.4391273
-50.47290811,70.56834781
-28.51543875,70.58268568
-50.55154688,70.66488676
-50.60840542,70.73198168
-50.67432491,70.84366616
-50.7954617,70.98807325
-28.37560469,70.99565834
-27.94977264,71.17698282
-51.43057167,71.23838977
-51.07599013,71.46325052
-52.35527289,71.78319273
-51.194118,71.791896
-28.75080365,71.84362629
-28.91087656,72.0523345
-52.5300691,72.06922127
-26.48389202,72.0973364
-28.823772,72.165745
-54.15100694,72.76853628
-27.64641535,72.80974647
-54.15096847,72.847376
